Enhetsnavn;EnhetsId;Fylke;Kommune;Skoletype;Vurderingsområde;Statistikk;Indikator/delskår;Periode;Eierform;Trinn;Kjønn;Verdi;Måleenhet
Førland skule;975275248;Rogaland fylke;Tysvær kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;9;Antall personer
Førre skole;975275183;Rogaland fylke;Tysvær kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;25;Antall personer
Føynland skole;975271285;Vestfold og Telemark fylke;Færder kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;27;Antall personer
Fåset skole og barnehage - Avd skole;974570033;Innlandet fylke;Tynset kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;7;Antall personer
Fåvang skole;975274292;Innlandet fylke;Ringebu kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;23;Antall personer
Gakori skole;975299473;Troms og Finnmark fylke;Alta kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;34;Antall personer
Galleberg skole;975268756;Vestfold og Telemark fylke;Holmestrand kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;14;Antall personer
Galterud ungdomsskole;975296733;Viken fylke;Drammen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;36;Antall personer
Gamlebyen skole;973626442;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;31;Antall personer
Gamlegrendåsen skole;975300099;Viken fylke;Kongsberg kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;44;Antall personer
Gamleveien skole (privat);973477579;Rogaland fylke;Eigersund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;12;Antall personer
Gamvik skole;974066769;Troms og Finnmark fylke;Gamvik kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;3;Antall personer
Ganddal skole;974610795;Rogaland fylke;Sandnes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;43;Antall personer
Gard skole;875275992;Rogaland fylke;Haugesund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;32;Antall personer
Garderåsen skole;975318303;Viken fylke;Lillestrøm kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;30;Antall personer
Garnes skole;975279324;Trøndelag fylke;Verdal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;8;Antall personer
Garnes skule;974738120;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;29;Antall personer
Garnes ungdomsskule;974738473;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;44;Antall personer
Garvik skole;975272990;Innlandet fylke;Nord-Odal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;17;Antall personer
Gaupen skole;875270672;Innlandet fylke;Ringsaker kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;19;Antall personer
